symbol,date,dir,surprise,ret_20d,spy_20d,excess_20d,cap_musd,cap_bucket,month
BABA,2026-05-13,MISS,-0.9118,-0.2007,-0.0086,-0.1921,230698188715.0,large,2026-05
CPRX,2026-05-11,BEAT,0.1562,0.0064,-0.0171,0.0235,3850029054.0,large,2026-05
RKT,2026-05-07,BEAT,0.3043,-0.2117,0.0023,-0.214,44534703682.0,large,2026-05
COIN,2026-05-07,MISS,-24.3616,-0.1942,0.0023,-0.1965,43597276902.0,large,2026-05
SONY,2026-05-07,MISS,-0.3006,0.1002,0.0023,0.0979,122450328298.0,large,2026-05
SNAP,2026-05-06,BEAT,0.2521,-0.0409,0.0081,-0.049,8207202747.0,large,2026-05
DIS,2026-05-06,BEAT,0.0537,-0.0821,0.0081,-0.0902,172713424641.0,large,2026-05
ET,2026-05-05,MISS,-0.1246,-0.0121,0.0316,-0.0437,66517608824.0,large,2026-05
SHOP,2026-05-05,BEAT,0.1036,0.1009,0.0316,0.0693,155017830343.0,large,2026-05
LCID,2026-05-05,MISS,-0.2721,-0.0837,0.0316,-0.1154,1932699365.0,large,2026-05
PYPL,2026-05-05,BEAT,0.0551,-0.0755,0.0316,-0.1071,40109336767.0,large,2026-05
AMD,2026-05-05,BEAT,0.062,0.2408,0.0316,0.2092,844357292000.0,large,2026-05
PINS,2026-05-04,BEAT,0.2273,-0.0718,0.0421,-0.1139,14669601327.0,large,2026-05
PLTR,2026-05-04,BEAT,0.1896,0.046,0.0421,0.0039,296881851000.0,large,2026-05
CVX,2026-05-01,BEAT,0.41,-0.0243,0.0576,-0.082,336998636000.0,large,2026-05
MRNA,2026-05-01,BEAT,0.236,-0.0356,0.0576,-0.0932,31647651360.0,large,2026-05
XOM,2026-05-01,BEAT,0.1789,-0.0266,0.0576,-0.0842,567941049000.0,large,2026-05
RBLX,2026-04-30,BEAT,0.1448,0.0409,0.0527,-0.0118,39679543101.0,large,2026-04
ROKU,2026-04-30,BEAT,0.7257,0.0444,0.0527,-0.0083,21128372994.0,large,2026-04
CARR,2026-04-30,BEAT,0.122,-0.0375,0.0527,-0.0901,58198770240.0,large,2026-04
RIVN,2026-04-30,BEAT,0.1302,0.1271,0.0527,0.0744,23408691876.0,large,2026-04
RIOT,2026-04-30,MISS,-3.3636,0.527,0.0527,0.4744,8360923695.0,large,2026-04
META,2026-04-29,BEAT,0.091,0.0333,0.0528,-0.0195,1479647034834.0,large,2026-04
AMZN,2026-04-29,BEAT,0.7055,0.021,0.0528,-0.0318,2610425457000.0,large,2026-04
ETSY,2026-04-29,BEAT,0.4355,0.0577,0.0528,0.0049,7304162900.0,large,2026-04
F,2026-04-29,BEAT,2.6085,0.4455,0.0528,0.3928,52249771396.0,large,2026-04
GOOGL,2026-04-29,BEAT,0.9356,-0.012,0.0528,-0.0648,4353064767154.0,large,2026-04
MSFT,2026-04-29,BEAT,0.0517,0.1022,0.0528,0.0494,2900727630700.0,large,2026-04
SBUX,2026-04-28,BEAT,0.1756,-0.0448,0.0606,-0.1054,118836519000.0,large,2026-04
V,2026-04-28,BEAT,0.0677,-0.0299,0.0606,-0.0904,694140330109.0,large,2026-04
GM,2026-04-28,BEAT,0.4176,0.1009,0.0606,0.0404,68526554820.0,large,2026-04
KO,2026-04-28,BEAT,0.0591,0.0195,0.0606,-0.041,362010667200.0,large,2026-04
VZ,2026-04-27,BEAT,0.0579,0.0214,0.0547,-0.0333,177711833600.0,large,2026-04
AAL,2026-04-23,BEAT,0.1367,0.1455,0.0444,0.1011,11852019200.0,large,2026-04
INTC,2026-04-23,BEAT,14.2873,0.4522,0.0444,0.4078,604879100000.0,large,2026-04
TSLA,2026-04-22,BEAT,0.1585,0.1182,0.0484,0.0698,1477688034000.0,large,2026-04
BA,2026-04-22,BEAT,0.708,-0.0623,0.0484,-0.1107,178542519980.0,large,2026-04
GE,2026-04-21,BEAT,0.1625,0.0868,0.0423,0.0444,394444078897.0,large,2026-04
UAL,2026-04-21,BEAT,0.1019,0.0682,0.0423,0.0259,43271672400.0,large,2026-04
UNH,2026-04-21,BEAT,0.0988,0.0842,0.0423,0.0418,386288303685.0,large,2026-04
NFLX,2026-04-16,BEAT,0.6121,-0.1051,0.0409,-0.146,326968620000.0,large,2026-04
BAC,2026-04-15,BEAT,0.099,-0.0681,0.0664,-0.1344,416782768933.0,large,2026-04
TSM,2026-04-15,BEAT,0.0544,0.1495,0.0664,0.0831,2251762156800.0,large,2026-04
C,2026-04-14,BEAT,0.1547,-0.0575,0.0608,-0.1183,239967356300.0,large,2026-04
JPM,2026-04-14,BEAT,0.0859,-0.0182,0.0608,-0.079,896216183978.0,large,2026-04
GS,2026-04-13,BEAT,0.0656,0.04,0.0631,-0.0231,301202576841.0,large,2026-04
DAL,2026-04-08,BEAT,0.1034,0.0775,0.076,0.0015,60936193500.0,large,2026-04
BABA,2026-03-19,MISS,-0.3879,0.1444,0.093,0.0514,230698188715.0,large,2026-03
FDX,2026-03-19,BEAT,0.5719,0.1025,0.093,0.0095,74683914628.0,large,2026-03
DOCU,2026-03-17,BEAT,0.0632,-0.0582,0.0604,-0.1186,8739552650.0,large,2026-03
NIO,2026-03-10,BEAT,1.2,0.1097,0.0052,0.1045,11290830035.0,large,2026-03
TGT,2026-03-03,BEAT,0.1296,0.0035,-0.0437,0.0473,59135668200.0,large,2026-03
RIOT,2026-03-02,MISS,-8.2273,-0.1916,-0.0443,-0.1473,8360923695.0,large,2026-03
BIDU,2026-02-26,BEAT,0.0935,-0.1314,-0.076,-0.0554,38536137008.0,large,2026-02
RKT,2026-02-26,BEAT,0.2277,-0.2482,-0.076,-0.1723,44534703682.0,large,2026-02
CPRX,2026-02-25,BEAT,0.619,-0.0255,-0.0641,0.0386,3850029054.0,large,2026-02
NVDA,2026-02-25,BEAT,0.0519,-0.0738,-0.0641,-0.0096,4718977430000.0,large,2026-02
LCID,2026-02-24,MISS,-0.4538,0.0379,-0.0525,0.0904,1932699365.0,large,2026-02
ET,2026-02-17,MISS,-0.3294,-0.0085,-0.0359,0.0274,66517608824.0,large,2026-02
MRNA,2026-02-13,BEAT,0.1693,0.2271,-0.0176,0.2447,31647651360.0,large,2026-02
ROKU,2026-02-12,BEAT,0.8929,0.0569,-0.0185,0.0755,21128372994.0,large,2026-02
COIN,2026-02-12,MISS,-3.505,0.2365,-0.0185,0.2551,43597276902.0,large,2026-02
RIVN,2026-02-12,BEAT,0.2378,-0.1348,-0.0185,-0.1163,23408691876.0,large,2026-02
SHOP,2026-02-11,MISS,-0.0909,0.1119,-0.0277,0.1397,155017830343.0,large,2026-02
F,2026-02-10,MISS,-0.275,-0.1272,-0.0372,-0.0899,52249771396.0,large,2026-02
SIRI,2026-02-05,BEAT,0.0909,0.0014,-0.018,0.0194,10270274247.0,large,2026-02
CARR,2026-02-05,MISS,-0.0931,-0.0817,-0.018,-0.0637,58198770240.0,large,2026-02
MGM,2026-02-05,BEAT,1.5,-0.0496,-0.018,-0.0316,12050582100.0,large,2026-02
SONY,2026-02-04,BEAT,0.2424,0.0123,-0.0074,0.0196,122450328298.0,large,2026-02
UBER,2026-02-04,MISS,-0.8221,-0.0016,-0.0074,0.0058,151509634538.0,large,2026-02
GOOGL,2026-02-04,BEAT,0.0973,-0.1016,-0.0074,-0.0942,4353064767154.0,large,2026-02
SNAP,2026-02-04,BEAT,1.9696,0.0108,-0.0074,0.0181,8207202747.0,large,2026-02
AMD,2026-02-03,BEAT,0.1591,-0.0036,-0.0068,0.0032,844357292000.0,large,2026-02
FUBO,2026-02-03,MISS,-17.4615,-0.2322,-0.0068,-0.2254,1115809018.0,large,2026-02
PFE,2026-02-03,BEAT,0.164,-0.0067,-0.0068,0.0001,138610380800.0,large,2026-02
PLTR,2026-02-02,BEAT,0.086,-0.0303,-0.0062,-0.024,296881851000.0,large,2026-02
