symbol,date,dir,surprise,ret_20d,iwm_20d,excess_20d,cap_musd,adv_usd
VFC,2026-01-28,BEAT,0.3488,-0.0341,-0.0077,-0.0264,6395.0,7515904.0
EAT,2026-01-28,BEAT,0.1344,-0.0781,-0.0077,-0.0704,7622.0,8184253.0
MANH,2026-01-27,BEAT,0.0901,-0.1338,0.0101,-0.1438,8936.0,6296985.0
QRVO,2026-01-27,BEAT,0.1604,0.0681,0.0101,0.0581,7707.0,5067922.0
BAH,2026-01-23,BEAT,0.3409,-0.1944,-0.0024,-0.192,7490.0,7901525.0
ALK,2026-01-22,BEAT,2.9091,-0.006,-0.0162,0.0102,5693.0,5234627.0
BMNR,2026-01-14,MISS,-107.5333,-0.3202,-0.0096,-0.3106,8179.0,22925170.0
APLD,2026-01-07,MISS,-0.2222,0.0943,0.0259,0.0683,9448.0,18377374.0
ACI,2026-01-07,BEAT,0.0746,0.0884,0.0259,0.0625,6921.0,8795678.0
NXE,2026-03-03,MISS,-0.6667,-0.0916,-0.0473,-0.0443,6374.0,5069537.0
GTLB,2026-03-03,BEAT,0.3043,-0.1229,-0.0473,-0.0757,5417.0,7840743.0
SEE,2026-03-02,BEAT,0.0694,0.0019,-0.0434,0.0453,6212.0,7770617.0
PLUG,2026-03-02,BEAT,0.4,0.0181,-0.0434,0.0615,3028.0,5208840.0
ACHR,2026-03-02,MISS,-0.5467,-0.2307,-0.0434,-0.1873,3783.0,6941796.0
BBAI,2026-03-02,BEAT,0.2,-0.0661,-0.0434,-0.0227,1266.0,5998459.0
CORZ,2026-03-02,MISS,-0.0741,-0.0238,-0.0434,0.0196,6812.0,17450365.0
RIOT,2026-03-02,MISS,-8.2273,-0.1916,-0.0434,-0.1482,8361.0,13727850.0
NCLH,2026-03-02,BEAT,0.0578,-0.121,-0.0434,-0.0776,9081.0,28990455.0
EXK,2026-02-27,MISS,-0.3333,-0.3425,-0.0917,-0.2507,2534.0,6116586.0
GTLS,2026-02-27,MISS,-0.2787,-0.0013,-0.0917,0.0904,9991.0,16265192.0
TXNM,2026-02-27,MISS,-0.2523,-0.0098,-0.0917,0.0819,6304.0,5425050.0
OS,2026-02-26,BEAT,1.4,0.0157,-0.0699,0.0856,2395.0,6186107.0
MASI,2026-02-26,MISS,-0.8784,0.0099,-0.0699,0.0798,9424.0,24209833.0
SHAK,2026-02-26,BEAT,0.0596,-0.1538,-0.0699,-0.0839,2279.0,5246060.0
COMP,2026-02-26,MISS,-0.1667,-0.2746,-0.0699,-0.2047,7675.0,16181248.0
MP,2026-02-26,BEAT,0.5387,-0.1204,-0.0699,-0.0505,9490.0,10511337.0
NXST,2026-02-26,BEAT,0.0723,-0.1516,-0.0699,-0.0817,5530.0,6414677.0
DUOL,2026-02-26,BEAT,0.1899,-0.0557,-0.0699,0.0142,5860.0,13033033.0
AAOI,2026-02-26,BEAT,0.9167,0.1681,-0.0699,0.238,9705.0,6403878.0
IBP,2026-02-26,BEAT,0.1782,-0.1987,-0.0699,-0.1288,6149.0,8001878.0
UUUU,2026-02-26,MISS,-0.1429,-0.177,-0.0699,-0.1071,3451.0,11451760.0
MARA,2026-02-26,MISS,-1.0,-0.1019,-0.0699,-0.032,4728.0,12265850.0
QBTS,2026-02-26,MISS,-1.4,-0.2604,-0.0699,-0.1905,8276.0,21419344.0
MIDD,2026-02-26,BEAT,0.0661,-0.2376,-0.0699,-0.1677,7918.0,6240482.0
CELH,2026-02-26,BEAT,0.3684,-0.3675,-0.0699,-0.2976,8477.0,9866958.0
SOUN,2026-02-26,BEAT,2.0294,-0.3159,-0.0699,-0.246,2835.0,7806768.0
ESTC,2026-02-26,BEAT,0.1406,-0.0687,-0.0699,0.0012,6033.0,6462257.0
TFX,2026-02-26,MISS,-0.4826,-0.048,-0.0699,0.0219,5932.0,7097159.0
PRMB,2026-02-26,BEAT,0.1818,-0.1948,-0.0699,-0.1249,9079.0,5277781.0
FIGR,2026-02-26,MISS,-0.5385,0.2238,-0.0699,0.2937,6193.0,8441153.0
RUN,2026-02-26,BEAT,5.75,-0.0526,-0.0699,0.0173,3039.0,5905468.0
EOSE,2026-02-26,MISS,-3.2,-0.1457,-0.0699,-0.0758,1514.0,9893588.0
SMR,2026-02-26,MISS,-7.0,-0.2003,-0.0699,-0.1304,2910.0,14530527.0
VSEC,2026-02-25,BEAT,0.3182,-0.2349,-0.0696,-0.1653,6519.0,7760579.0
RDW,2026-02-25,MISS,-1.1875,-0.0738,-0.0696,-0.0042,2701.0,6857950.0
CHE,2026-02-25,MISS,-0.0855,-0.0638,-0.0696,0.0058,6500.0,5545631.0
TTD,2026-02-25,BEAT,0.1511,-0.0915,-0.0696,-0.0219,8979.0,22307691.0
CHDN,2026-02-25,BEAT,0.1412,-0.0306,-0.0696,0.039,6336.0,5191180.0
CAVA,2026-02-24,BEAT,0.3333,-0.0638,-0.048,-0.0158,8955.0,9801552.0
CIFR,2026-02-24,MISS,-15.0,-0.0446,-0.048,0.0034,8197.0,20457731.0
MOS,2026-02-24,MISS,-0.5417,-0.0295,-0.048,0.0186,6716.0,10901377.0
RGEN,2026-02-24,BEAT,0.1136,-0.1363,-0.048,-0.0883,8032.0,7980796.0
PLNT,2026-02-24,BEAT,0.0506,-0.0613,-0.048,-0.0133,4246.0,9686520.0
WLK,2026-02-24,BEAT,0.8305,0.1049,-0.048,0.1529,9580.0,6871921.0
EXLS,2026-02-24,BEAT,0.087,0.058,-0.048,0.106,4128.0,5314847.0
CCC,2026-02-24,BEAT,0.1041,-0.056,-0.048,-0.008,3275.0,6850511.0
ZETA,2026-02-24,BEAT,0.2174,-0.0824,-0.048,-0.0343,5173.0,8936538.0
SEI,2026-02-24,BEAT,0.4583,0.1131,-0.048,0.1612,4823.0,6111086.0
RRC,2026-02-24,BEAT,0.2059,0.1907,-0.048,0.2387,8909.0,6388453.0
GGB,2026-02-23,MISS,-0.3636,-0.1603,-0.0552,-0.1052,8095.0,7099597.0
PRIM,2026-02-23,BEAT,0.1368,-0.0311,-0.0552,0.0241,4785.0,5179249.0
IBRX,2026-02-23,BEAT,0.25,-0.357,-0.0552,-0.3018,9887.0,5316456.0
ALSN,2026-02-23,MISS,-0.2436,-0.0352,-0.0552,0.02,9651.0,5253585.0
HIMS,2026-02-23,BEAT,2.5,0.3825,-0.0552,0.4377,8209.0,18919300.0
SBSW,2026-02-20,MISS,-1.2539,-0.2979,-0.0502,-0.2477,6340.0,10030621.0
RIG,2026-02-19,MISS,-0.7778,-0.0437,-0.0843,0.0406,4570.0,21516483.0
OLED,2026-02-19,BEAT,0.0859,-0.0888,-0.0843,-0.0045,3679.0,6624812.0
PRAX,2026-02-19,MISS,-0.1197,-0.1111,-0.0843,-0.0268,6734.0,5915537.0
EGO,2026-02-19,BEAT,0.0553,-0.2704,-0.0843,-0.1861,6778.0,8826955.0
VAL,2026-02-19,BEAT,0.549,-0.0341,-0.0843,0.0502,5218.0,6625084.0
OPEN,2026-02-19,BEAT,0.125,-0.013,-0.0843,0.0713,3756.0,9405554.0
LMND,2026-02-19,BEAT,0.2927,0.1219,-0.0843,0.2062,5494.0,6421537.0
IRTC,2026-02-19,BEAT,7.5,-0.2294,-0.0843,-0.1451,4156.0,6778661.0
POOL,2026-02-19,MISS,-0.1515,-0.0962,-0.0843,-0.0119,7998.0,12617620.0
AG,2026-02-19,BEAT,0.3471,-0.337,-0.0843,-0.2527,8799.0,29301724.0
WING,2026-02-18,BEAT,0.1905,-0.2795,-0.0642,-0.2153,4847.0,13096881.0
BKD,2026-02-18,MISS,-0.0625,-0.0542,-0.0642,0.01,3790.0,5097839.0
BTG,2026-02-18,MISS,-0.45,-0.1769,-0.0642,-0.1127,5436.0,11614385.0
EQX,2026-02-18,BEAT,0.5888,-0.2697,-0.0642,-0.2055,8002.0,11580613.0
